iter	MultiClass
0	1.555471027
1	1.514560747
2	1.48250059
3	1.456415024
4	1.435532699
5	1.417421967
6	1.40241392
7	1.390168669
8	1.379792316
9	1.370868885
10	1.363156606
11	1.356334118
12	1.350488626
13	1.345595043
14	1.340881073
15	1.337238326
16	1.333688109
17	1.3304231
18	1.327532969
19	1.32547987
20	1.323222434
21	1.321268344
22	1.319595236
23	1.317911069
24	1.316725364
25	1.315431383
26	1.314205709
27	1.313036441
28	1.312215925
29	1.311364934
30	1.310346783
31	1.30957817
32	1.309062158
33	1.308538893
34	1.307676418
35	1.307251815
36	1.306452414
37	1.305809959
38	1.305345816
39	1.304852479
40	1.304473153
41	1.304205212
42	1.303662452
43	1.302906683
44	1.302383469
45	1.30203985
46	1.301834833
47	1.301391552
48	1.301213033
49	1.30077083
50	1.300161201
51	1.299920527
52	1.299495712
53	1.299249278
54	1.299025447
55	1.298490862
56	1.2983134
57	1.297973798
58	1.297702738
59	1.297420442
60	1.297251936
61	1.296908429
62	1.296788021
63	1.29630817
64	1.295952536
65	1.295658998
66	1.295535761
67	1.295364245
68	1.29520858
69	1.295086401
70	1.294948056
71	1.294700332
72	1.294570445
73	1.29444368
74	1.294289111
75	1.294134457
76	1.29391449
77	1.293680715
78	1.293455882
79	1.293393267
80	1.293226422
81	1.293184786
82	1.293044693
83	1.292788331
84	1.292601199
85	1.292525827
86	1.292431815
87	1.292295976
88	1.292133517
89	1.292008327
90	1.291833997
91	1.291765929
92	1.291664573
93	1.291205115
94	1.291019313
95	1.290765031
96	1.290691906
97	1.290564598
98	1.290326684
99	1.290118822
100	1.289862279
101	1.289739906
102	1.289693763
103	1.28961115
104	1.289387775
105	1.289297076
106	1.289207777
107	1.289037665
108	1.288905767
109	1.288705245
110	1.288497068
111	1.288345338
112	1.288319194
113	1.288171213
114	1.288064739
115	1.288004338
116	1.287804016
117	1.28738196
118	1.287310824
119	1.287133104
120	1.287037571
121	1.286848925
122	1.286703312
123	1.28645149
124	1.28625382
125	1.286103601
126	1.285800655
127	1.285544525
128	1.285365241
129	1.28519817
130	1.285017948
131	1.28493935
132	1.284763866
133	1.284557295
134	1.284320663
135	1.284116996
136	1.283903657
137	1.283660183
138	1.28354004
139	1.28331886
140	1.283143922
141	1.282898578
142	1.282717023
143	1.28261871
144	1.282533607
145	1.282409163
146	1.282306826
147	1.282138406
148	1.281935977
149	1.281897202
150	1.281757545
151	1.281555056
152	1.281258184
153	1.280960885
154	1.280826804
155	1.28071299
156	1.280528642
157	1.280393619
158	1.280324195
159	1.280167306
