iter	Passed	Remaining
0	1402	1401056
1	3011	1502747
2	4424	1470449
3	5906	1470737
4	7247	1442289
5	8699	1441152
6	10035	1423553
7	11443	1418989
8	12773	1406487
9	14399	1425545
10	15880	1427798
11	17286	1423259
12	18773	1425340
13	20159	1419791
14	21613	1419317
15	22999	1414453
16	24460	1414418
17	26112	1424589
18	27558	1422914
19	28988	1420438
20	30532	1423388
21	31972	1421333
22	33411	1419277
23	34838	1416745
24	36298	1415652
25	37562	1407143
26	38986	1404941
27	40530	1406997
28	42169	1411941
29	43750	1414595
30	45180	1412262
31	46701	1412713
32	48251	1413926
33	49933	1418712
34	51557	1421504
35	53239	1425642
36	54852	1427636
37	56405	1427945
38	57821	1424785
39	59290	1422965
40	60866	1423683
41	62699	1430144
42	64396	1433201
43	65847	1430676
44	67633	1435332
45	69568	1442784
46	71180	1443296
47	72642	1440746
48	74693	1449655
49	76173	1447297
50	78205	1455233
51	79785	1454556
52	81547	1457088
53	83106	1455906
54	84641	1454293
55	86094	1451298
56	87666	1450340
57	89210	1448905
58	90737	1447188
59	92254	1445319
60	93951	1446240
61	95446	1444015
62	96781	1439432
63	98323	1437987
64	99961	1437910
65	101451	1435687
66	103012	1434484
67	104676	1434682
68	105972	1429864
69	107392	1426784
70	109000	1426223
71	110383	1422715
72	111919	1421227
73	113563	1421072
74	114980	1418093
75	116439	1415654
76	117947	1413836
77	119484	1412371
78	120825	1408614
79	122239	1405758
80	123474	1400906
81	124740	1396489
82	126366	1396117
83	128125	1397183
84	129699	1396181
85	131265	1395072
86	132747	1393083
87	134225	1391066
88	135783	1389878
89	137266	1387913
90	138671	1385194
91	140005	1381797
92	141314	1378198
93	142843	1376764
94	144402	1375620
95	145838	1373312
96	147402	1372212
97	149025	1371641
98	150592	1370547
99	151903	1367133
100	153095	1362703
101	154506	1360264
102	155793	1356766
103	157438	1356394
104	159316	1357986
105	160841	1356528
106	162645	1357402
107	164326	1357215
108	165771	1355069
109	167412	1354522
110	168887	1352621
111	170360	1350712
112	171842	1348887
113	173504	1348467
114	175071	1347292
115	176638	1346108
116	178351	1346023
117	180161	1346629
118	182603	1351877
119	184209	1350867
120	185793	1349693
121	187478	1349233
122	189147	1348634
123	190720	1347344
124	192395	1346770
125	193933	1345223
126	195442	1343474
127	197248	1343757
128	198700	1341615
129	200189	1339732
130	201744	1338290
131	203214	1336289
132	204709	1334456
133	206275	1333094
134	207809	1331522
135	209079	1328269
136	210501	1326004
137	211906	1323650
138	213580	1322971
139	215150	1321637
140	216750	1320487
141	218319	1319138
142	219876	1317722
143	221487	1316620
144	223321	1316825
145	224854	1315247
146	226612	1314970
147	228328	1314429
148	230555	1316799
149	232172	1315641
150	233827	1314701
151	235232	1312351
152	236610	1309861
153	238128	1308162
154	240177	1309356
155	242039	1309495
156	243574	1307856
157	245182	1306607
158	246737	1305072
159	248603	1305168
